YearBuilt,OverallQual,OverallCond,1stFlrSF,2ndFlrSF,LotArea,YrSold,HouseStyle,Condition1,Condition2,RoofMatl,Exterior1st,Exterior2nd,MSZoning,SaleType,SalePrice
1948,5,5,1072,213,8635,2008,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,127000
1968,4,5,1768,0,10778,2010,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,136500
1910,5,6,682,548,10440,2009,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,110000
1968,6,6,1182,960,13000,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,193500
1998,6,5,1337,0,4500,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,153500
2007,8,5,1563,0,10206,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,245000
1960,5,5,1065,0,8892,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,COD,126500
1995,7,5,804,670,8530,2009,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,168500
1991,8,5,1301,1116,16059,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,260000
2005,6,5,684,876,11911,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,174000
2009,6,5,612,612,3951,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,164500
1915,3,2,1013,0,8470,2009,1.5Fin,Feedr,Feedr,CompShg,Plywood,Plywood,C (all),ConLD,85000
1994,4,5,990,0,8070,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,123600
1950,4,5,1040,0,7200,2006,1Story,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,109900
1961,5,3,1235,0,8500,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,98600
1921,5,7,964,0,13360,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,163500
1910,6,6,1260,1031,7200,2007,2.5Unf,Norm,Norm,CompShg,MetalSd,MetalSd,C (all),WD,133900
1997,6,5,905,881,9337,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,204750
1993,6,8,680,790,9765,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,185000
1999,7,5,1588,0,10264,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,214000
1965,4,5,960,0,10921,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,94750
1920,5,5,835,0,10625,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,COD,83000
1959,4,5,1225,0,9320,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,128950
1977,6,7,1610,0,10603,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,205000
1985,6,5,977,755,9206,2010,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,178000
1979,5,5,1535,0,7018,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,118964
2009,7,5,1226,0,10402,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,198900
1931,7,4,1226,592,7758,2007,1.5Fin,Norm,Norm,CompShg,Stucco,Stucco,RM,WD,169500
2003,8,5,1053,939,9375,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,250000
1885,4,7,1047,0,10800,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,100000
1948,5,5,789,0,6000,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,115000
1919,5,7,997,520,8500,2007,1.5Fin,Artery,Norm,CompShg,CemntBd,CmentBd,RM,WD,115000
1977,6,6,1844,0,11751,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,COD,190000
1954,6,4,1216,639,9525,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,136900
2000,7,5,774,656,7750,2010,SLvl,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,180000
2007,7,5,1282,1414,9965,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,383970
1953,6,5,2259,0,21000,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,COD,217000
1945,6,8,1436,884,7259,2007,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,259500
1999,6,5,729,729,3230,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,176000
1962,5,5,1092,0,11616,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139000
2006,5,5,1125,0,8536,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,155000
1990,7,5,1699,1523,12376,2010,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,320000
2005,6,5,728,728,8461,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,163990
1969,6,5,988,0,21453,2006,SLvl,Norm,Norm,Metal,Plywood,Plywood,RL,WD,180000
1939,4,5,772,351,6060,2007,1.5Fin,Norm,Norm,CompShg,AsbShng,AsbShng,RM,WD,100000
1958,6,7,1080,0,9464,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,136000
1993,6,5,1199,0,7892,2008,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,153900
1979,6,5,1586,0,17043,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,181000
1935,6,8,520,0,6780,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,84500
1976,6,5,958,0,4928,2007,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,128000
1930,5,7,840,0,4388,2007,1.5Unf,Feedr,Norm,CompShg,WdShing,Wd Sdng,RM,WD,87000
1966,6,5,660,688,7590,2006,2Story,PosN,Norm,CompShg,VinylSd,VinylSd,RL,WD,155000
1958,5,7,1053,0,8973,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,150000
1966,7,6,1216,941,14200,2006,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,226000
2000,6,5,1022,1032,12224,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,244000
1959,5,6,1327,0,7388,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,150750
2001,8,5,1296,0,6853,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,220000
1968,5,6,1721,0,10335,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,180000
1970,7,6,1682,0,10400,2008,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,174000
1967,5,5,1214,0,10355,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,143000
1988,7,5,1959,0,11070,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,171000
1999,8,5,1004,848,9066,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,230000
1997,6,5,928,836,15426,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,231500
1971,4,5,864,0,10500,2010,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,ConLI,115000
2005,7,5,1734,0,11645,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,260000
1952,5,4,910,475,8520,2010,1.5Fin,Artery,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,166000
1999,7,5,1501,0,10335,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,204000
1963,5,5,1728,0,9100,2006,1Story,RRAe,Norm,CompShg,HdBoard,HdBoard,RM,ConLI,125000
2004,6,5,970,739,2522,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,130000
1931,5,7,875,0,6120,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,105000
2001,7,5,884,1151,9505,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,222500
2004,7,5,1080,0,7500,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,141000
1936,5,4,896,448,6240,2006,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,115000
1975,5,6,969,0,10356,2007,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,122000
2007,8,5,1710,0,13891,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,372402
1971,6,5,1097,896,14803,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,190000
1960,6,7,1252,0,13500,2008,1Story,Norm,Norm,CompShg,BrkFace,Plywood,RL,WD,235000
1923,6,5,1200,0,11340,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,125000
1924,6,5,572,524,9600,2008,1.5Fin,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,79000
1950,5,7,1040,0,7200,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,109500
2009,8,5,774,1194,12003,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,269500
2004,7,5,991,956,12552,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,254900
2005,7,5,1392,1070,19378,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,320000
1984,6,6,1232,0,11120,2008,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,162500
2003,9,5,1572,1096,13688,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,412500
2005,7,5,1541,0,12182,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,220000
1956,4,6,882,0,5500,2007,1.5Unf,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,103200
1926,6,7,1149,467,5400,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,152000
1940,5,7,808,547,10106,2008,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,127500
1955,5,5,1867,0,10708,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,COD,190000
2007,8,5,1610,551,10562,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,325624
2004,7,5,840,880,8244,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,183500
1981,8,6,1707,0,16669,2006,1Story,Norm,Norm,WdShake,Plywood,Plywood,RL,WD,228000
1941,5,6,854,0,12358,2007,1.5Fin,Feedr,Norm,CompShg,MetalSd,MetalSd,RM,WD,128500
1960,6,5,1656,0,31770,2010,1Story,Norm,Norm,CompShg,BrkFace,Plywood,RL,WD,215000
1987,7,7,1064,703,5306,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,239000
1961,6,5,1362,0,10197,2008,1Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,COD,163000
1986,6,5,1651,0,12416,2008,1Story,Norm,Norm,CompShg,VinylSd,Plywood,RL,WD,184000
1950,6,7,2158,0,12615,2007,1Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,WD,243000
1988,6,5,1164,896,10029,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,211000
1958,5,5,1252,668,13650,2006,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,172500
2008,9,5,2234,0,17423,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,501837
1923,5,6,968,0,8520,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,100000
2000,6,5,769,756,2117,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,177000
1920,7,6,901,901,7588,2006,2Story,Norm,Norm,CompShg,Stucco,Stucco,RL,WD,200100
1957,5,6,1340,0,9060,2007,1Story,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,120000
2003,7,5,1362,720,11426,2008,1.5Fin,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,200000
1908,5,8,936,316,7438,2006,1.5Fin,RRAn,Feedr,CompShg,AsbShng,Plywood,RL,WD,127000
1892,10,9,1518,1518,22950,2006,2.5Fin,Artery,Norm,WdShngl,Wd Sdng,Wd Sdng,RM,WD,475000
1990,7,5,1217,0,9947,2009,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,173000
1916,5,7,808,704,10410,2009,1.5Fin,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,135000
1979,5,5,1224,0,7018,2009,SFoyer,Feedr,Norm,CompShg,Plywood,Plywood,RL,WD,153337
2001,8,5,1593,0,4923,2008,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,286000
1932,8,8,1549,1178,10570,2007,2Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,WD,315000
1972,7,9,725,754,7472,2007,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,184000
1999,7,5,1431,0,9017,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,192000
2004,7,5,970,739,2522,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,130000
1972,5,7,864,0,7180,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,127000
1976,6,6,855,601,2280,2009,2Story,Norm,Norm,CompShg,Plywood,Brk Cmn,RL,WD,148500
2007,7,5,1726,0,9416,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,311872
1918,8,4,1360,1360,25419,2006,2Story,Artery,Norm,CompShg,Stucco,Stucco,RL,WD,235000
1912,6,6,929,929,5520,2009,2.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,104000
2004,8,5,1713,0,9591,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,274900
2003,4,5,1121,0,8546,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,140000
1977,6,6,1279,0,10125,2008,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,171500
1924,6,6,865,445,7000,2006,1.5Fin,Artery,Norm,CompShg,MetalSd,MetalSd,RL,COD,112000
2004,6,5,848,0,4438,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,149000
1947,5,7,720,564,3500,2009,1.5Fin,Norm,Norm,CompShg,AsbShng,AsbShng,RM,WD,110000
1990,7,5,1442,0,11851,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,180500
1962,5,5,1696,0,13673,2007,1Story,RRAe,Norm,CompShg,HdBoard,HdBoard,RL,WD,143900
1960,4,5,1100,0,12493,2008,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,141000
1988,7,5,1180,882,14364,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,277000
1964,6,7,1092,0,8250,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,145000
1925,5,6,864,0,5604,2008,1Story,Norm,Norm,CompShg,Stucco,Stucco,RL,WD,98000
2009,6,5,1212,0,10420,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,186000
2009,7,5,932,920,8640,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,252678
1995,5,5,990,0,13568,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,156000
1977,6,7,689,703,10900,2010,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,161750
1957,5,6,1236,0,10011,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,134450
2004,7,5,1436,0,8450,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,210000
1925,4,4,810,518,9906,2006,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,107000
1939,7,9,1137,817,15660,2008,1.5Fin,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,311500
2005,7,5,1248,0,3010,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,167240
2006,7,5,1498,0,8990,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,204900
2002,6,5,1010,1257,8068,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,ConLI,200000
1975,6,6,811,741,11475,2006,2Story,RRAn,Norm,CompShg,VinylSd,VinylSd,RL,WD,179900
1971,4,6,864,0,10500,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,97000
2003,10,5,2392,0,13472,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,386250
1971,5,5,630,672,1680,2009,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,COD,112000
1995,7,5,1214,1306,9950,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,290000
1970,6,6,483,504,1869,2008,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,106000
1967,5,5,912,0,8521,2010,1Story,Feedr,Norm,CompShg,HdBoard,HdBoard,RL,WD,125000
2005,7,5,1555,0,3182,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,192500
1959,6,6,1194,0,8760,2010,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,148000
1995,8,5,1490,1304,15138,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,403000
1972,6,5,483,504,1680,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,94500
1976,5,6,894,0,10650,2010,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,128200
2002,6,5,860,1100,7851,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,216500
1971,6,3,483,504,1680,2008,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,89500
2004,7,5,1414,0,8773,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,185500
1993,7,7,1014,730,9453,2010,2Story,RRNe,Norm,CompShg,HdBoard,HdBoard,RL,WD,194500
2007,8,5,1694,0,12030,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,318000
1945,6,4,798,689,8741,2010,1.5Fin,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,113000
2008,8,5,1566,0,9000,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,262500
1945,5,9,866,0,3880,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,110500
1900,5,4,889,551,5000,2006,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,79000
1980,6,6,626,591,10762,2009,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,120000
